java -cp .:./jfugue-5.0.1.jar Test
Track 1: size = 180

@0 Other message: class javax.sound.midi.MetaMessage
@3776 Channel: 1 Note off, D#3 key=51 velocity: 64
@3776 Channel: 1 Note on, C4 key=60 velocity: 64
@3840 Channel: 1 Note off, C4 key=60 velocity: 64
@3840 Channel: 1 Note on, B3 key=59 velocity: 64
@3904 Channel: 1 Note off, B3 key=59 velocity: 64
@3904 Channel: 1 Note on, A3 key=57 velocity: 64
@3968 Channel: 1 Note off, A3 key=57 velocity: 64
@3968 Channel: 1 Note on, G3 key=55 velocity: 64
@4032 Channel: 1 Note off, G3 key=55 velocity: 64
@4032 Channel: 1 Note on, F3 key=53 velocity: 64
@4096 Channel: 1 Note off, F3 key=53 velocity: 64
@4096 Channel: 1 Note on, D#3 key=51 velocity: 64
@4160 Channel: 1 Note off, D#3 key=51 velocity: 64
@4160 Channel: 1 Note on, D3 key=50 velocity: 64
@4224 Channel: 1 Note off, D3 key=50 velocity: 64
@4224 Channel: 1 Note on, D#3 key=51 velocity: 64
@4288 Channel: 1 Note off, D#3 key=51 velocity: 64
@4288 Channel: 1 Note on, G3 key=55 velocity: 64
@4352 Channel: 1 Note off, G3 key=55 velocity: 64
@4352 Channel: 1 Note on, C4 key=60 velocity: 64
@4416 Channel: 1 Note off, C4 key=60 velocity: 64
@4416 Channel: 1 Note on, G3 key=55 velocity: 64
@4480 Channel: 1 Note off, G3 key=55 velocity: 64
@4480 Channel: 1 Note on, F3 key=53 velocity: 64
@4544 Channel: 1 Note off, F3 key=53 velocity: 64
@4544 Channel: 1 Note on, G3 key=55 velocity: 64
@4608 Channel: 1 Note off, G3 key=55 velocity: 64
@4608 Channel: 1 Note on, D#3 key=51 velocity: 64
@4864 Channel: 1 Note off, D#3 key=51 velocity: 64
@4864 Channel: 1 Note on, C3 key=48 velocity: 64
@5120 Channel: 1 Note off, C3 key=48 velocity: 64
@5120 Channel: 1 Note on, D3 key=50 velocity: 64
@5376 Channel: 1 Note off, D3 key=50 velocity: 64
@5376 Channel: 1 Note on, D#3 key=51 velocity: 64
@5632 Channel: 1 Note off, D#3 key=51 velocity: 64
@5632 Channel: 1 Note on, F3 key=53 velocity: 64
@5760 Channel: 1 Note off, F3 key=53 velocity: 64
@5760 Channel: 1 Note on, C3 key=48 velocity: 64
@5888 Channel: 1 Note off, C3 key=48 velocity: 64
@5888 Channel: 1 Note on, G2 key=43 velocity: 64
@6016 Channel: 1 Note off, G2 key=43 velocity: 64
@6016 Channel: 1 Note on, B2 key=47 velocity: 64
@6144 Channel: 1 Note off, B2 key=47 velocity: 64
@6144 Channel: 1 Note on, C3 key=48 velocity: 64
@6272 Channel: 1 Note off, C3 key=48 velocity: 64
@6272 Channel: 1 Note on, C#3 key=49 velocity: 64
@6400 Channel: 1 Note off, C#3 key=49 velocity: 64
@6400 Channel: 1 Note on, D3 key=50 velocity: 64
@6528 Channel: 1 Note off, D3 key=50 velocity: 64
@6528 Channel: 1 Note on, D#3 key=51 velocity: 64
@6784 Channel: 1 Note off, D#3 key=51 velocity: 64
@6784 Channel: 1 Note on, E3 key=52 velocity: 64
@7040 Channel: 1 Note off, E3 key=52 velocity: 64
@7040 Channel: 1 Note on, F3 key=53 velocity: 64
@7296 Channel: 1 Note off, F3 key=53 velocity: 64
@7296 Channel: 1 Note on, F#3 key=54 velocity: 64
@7552 Channel: 1 Note off, F#3 key=54 velocity: 64
@7552 Channel: 1 Note on, G3 key=55 velocity: 64
@7808 Channel: 1 Note off, G3 key=55 velocity: 64
@7936 Channel: 1 Note on, B2 key=47 velocity: 64
@8192 Channel: 1 Note off, B2 key=47 velocity: 64
@8192 Channel: 1 Note on, G#3 key=56 velocity: 64
@8448 Channel: 1 Note off, G#3 key=56 velocity: 64
@8448 Channel: 1 Note on, G3 key=55 velocity: 64
@8704 Channel: 1 Note off, G3 key=55 velocity: 64
@8704 Channel: 1 Note on, D#3 key=51 velocity: 64
@8960 Channel: 1 Note off, D#3 key=51 velocity: 64
@8960 Channel: 1 Note on, C3 key=48 velocity: 64
@9216 Channel: 1 Note off, C3 key=48 velocity: 64
@9216 Other message: class javax.sound.midi.Track$ImmutableEndOfTrack

